GO.ID	Term	Annotated	Significant	Expected	Fisher
249	GO:0008194	UDP-glycosyltransferase activity	94	0	0.17	1.000
250	GO:0008233	peptidase activity	277	0	0.51	1.000
251	GO:0008234	cysteine-type peptidase activity	51	0	0.09	1.000
252	GO:0008236	serine-type peptidase activity	101	0	0.19	1.000
253	GO:0008237	metallopeptidase activity	30	0	0.06	1.000
254	GO:0008238	exopeptidase activity	50	0	0.09	1.000
255	GO:0008242	omega peptidase activity	3	0	0.01	1.000
256	GO:0008271	secondary active sulfate transmembrane t...	9	0	0.02	1.000
257	GO:0008276	protein methyltransferase activity	16	0	0.03	1.000
258	GO:0008289	lipid binding	50	0	0.09	1.000
259	GO:0008308	voltage-gated anion channel activity	11	0	0.02	1.000
260	GO:0008312	7S RNA binding	8	0	0.01	1.000
261	GO:0008318	protein prenyltransferase activity	3	0	0.01	1.000
262	GO:0008324	cation transmembrane transporter activit...	116	0	0.22	1.000
263	GO:0008373	sialyltransferase activity	3	0	0.01	1.000
264	GO:0008374	O-acyltransferase activity	18	0	0.03	1.000
265	GO:0008375	acetylglucosaminyltransferase activity	31	0	0.06	1.000
266	GO:0008378	galactosyltransferase activity	26	0	0.05	1.000
267	GO:0008408	3'-5' exonuclease activity	11	0	0.02	1.000
268	GO:0008417	fucosyltransferase activity	7	0	0.01	1.000
269	GO:0008443	phosphofructokinase activity	13	0	0.02	1.000
270	GO:0008509	anion transmembrane transporter activity	32	0	0.06	1.000
271	GO:0008514	organic anion transmembrane transporter ...	3	0	0.01	1.000
272	GO:0008519	ammonium transmembrane transporter activ...	4	0	0.01	1.000
273	GO:0008641	ubiquitin-like modifier activating enzym...	10	0	0.02	1.000
274	GO:0008686	3,4-dihydroxy-2-butanone-4-phosphate syn...	3	0	0.01	1.000
275	GO:0008725	DNA-3-methyladenine glycosylase activity	6	0	0.01	1.000
276	GO:0008757	S-adenosylmethionine-dependent methyltra...	26	0	0.05	1.000
277	GO:0008839	4-hydroxy-tetrahydrodipicolinate reducta...	4	0	0.01	1.000
278	GO:0008889	glycerophosphodiester phosphodiesterase ...	7	0	0.01	1.000
279	GO:0008897	holo-[acyl-carrier-protein] synthase act...	3	0	0.01	1.000
280	GO:0008964	phosphoenolpyruvate carboxylase activity	4	0	0.01	1.000
281	GO:0009001	serine O-acetyltransferase activity	4	0	0.01	1.000
282	GO:0009055	electron transfer activity	82	0	0.15	1.000
283	GO:0009378	four-way junction helicase activity	16	0	0.03	1.000
284	GO:0009678	pyrophosphate hydrolysis-driven proton t...	11	0	0.02	1.000
285	GO:0009916	alternative oxidase activity	4	0	0.01	1.000
286	GO:0009982	pseudouridine synthase activity	18	0	0.03	1.000
287	GO:0010181	FMN binding	14	0	0.03	1.000
288	GO:0010277	chlorophyllide a oxygenase [overall] act...	4	0	0.01	1.000
289	GO:0010309	acireductone dioxygenase [iron(II)-requi...	3	0	0.01	1.000
290	GO:0010333	terpene synthase activity	11	0	0.02	1.000
291	GO:0010340	carboxyl-O-methyltransferase activity	3	0	0.01	1.000
292	GO:0015018	galactosylgalactosylxylosylprotein 3-bet...	10	0	0.02	1.000
293	GO:0015020	glucuronosyltransferase activity	11	0	0.02	1.000
294	GO:0015035	protein-disulfide reductase activity	54	0	0.1	1.000
295	GO:0015036	disulfide oxidoreductase activity	54	0	0.1	1.000
296	GO:0015075	ion transmembrane transporter activity	173	0	0.32	1.000
297	GO:0015078	proton transmembrane transporter activit...	44	0	0.08	1.000
298	GO:0015079	potassium ion transmembrane transporter ...	23	0	0.04	1.000
299	GO:0015095	magnesium ion transmembrane transporter ...	10	0	0.02	1.000
300	GO:0015098	molybdate ion transmembrane transporter ...	4	0	0.01	1.000
301	GO:0015103	inorganic anion transmembrane transporte...	29	0	0.05	1.000
302	GO:0015108	chloride transmembrane transporter activ...	10	0	0.02	1.000
303	GO:0015116	sulfate transmembrane transporter activi...	9	0	0.02	1.000
304	GO:0015144	carbohydrate transmembrane transporter a...	7	0	0.01	1.000
305	GO:0015171	amino acid transmembrane transporter act...	15	0	0.03	1.000
306	GO:0015215	nucleotide transmembrane transporter act...	3	0	0.01	1.000
307	GO:0015216	purine nucleotide transmembrane transpor...	3	0	0.01	1.000
308	GO:0015217	ADP transmembrane transporter activity	3	0	0.01	1.000
309	GO:0015252	proton channel activity	7	0	0.01	1.000
310	GO:0015267	channel activity	47	0	0.09	1.000
311	GO:0015276	ligand-gated ion channel activity	10	0	0.02	1.000
312	GO:0015291	secondary active transmembrane transport...	72	0	0.13	1.000
313	GO:0015293	symporter activity	6	0	0.01	1.000
314	GO:0015294	solute:cation symporter activity	6	0	0.01	1.000
315	GO:0015295	solute:proton symporter activity	6	0	0.01	1.000
316	GO:0015297	antiporter activity	52	0	0.1	1.000
317	GO:0015298	solute:cation antiporter activity	14	0	0.03	1.000
318	GO:0015299	solute:proton antiporter activity	14	0	0.03	1.000
319	GO:0015318	inorganic molecular entity transmembrane...	157	0	0.29	1.000
320	GO:0015399	primary active transmembrane transporter...	67	0	0.12	1.000
321	GO:0015453	oxidoreduction-driven active transmembra...	14	0	0.03	1.000
322	GO:0015605	organophosphate ester transmembrane tran...	3	0	0.01	1.000
323	GO:0015631	tubulin binding	61	0	0.11	1.000
324	GO:0015923	mannosidase activity	8	0	0.01	1.000
325	GO:0015924	mannosyl-oligosaccharide mannosidase act...	4	0	0.01	1.000
326	GO:0015926	glucosidase activity	3	0	0.01	1.000
327	GO:0015930	glutamate synthase activity	4	0	0.01	1.000
328	GO:0015932	nucleobase-containing compound transmemb...	5	0	0.01	1.000
329	GO:0016149	translation release factor activity, cod...	5	0	0.01	1.000
330	GO:0016151	nickel cation binding	4	0	0.01	1.000
331	GO:0016157	sucrose synthase activity	10	0	0.02	1.000
332	GO:0016160	amylase activity	12	0	0.02	1.000
333	GO:0016161	beta-amylase activity	9	0	0.02	1.000
334	GO:0016209	antioxidant activity	89	0	0.17	1.000
335	GO:0016211	ammonia ligase activity	5	0	0.01	1.000
336	GO:0016229	steroid dehydrogenase activity	22	0	0.04	1.000
337	GO:0016278	lysine N-methyltransferase activity	13	0	0.02	1.000
338	GO:0016279	protein-lysine N-methyltransferase activ...	13	0	0.02	1.000
339	GO:0016298	lipase activity	10	0	0.02	1.000
340	GO:0016307	phosphatidylinositol phosphate kinase ac...	15	0	0.03	1.000
341	GO:0016407	acetyltransferase activity	37	0	0.07	1.000
342	GO:0016410	N-acyltransferase activity	33	0	0.06	1.000
343	GO:0016411	acylglycerol O-acyltransferase activity	4	0	0.01	1.000
344	GO:0016412	serine O-acyltransferase activity	4	0	0.01	1.000
345	GO:0016413	O-acetyltransferase activity	5	0	0.01	1.000
346	GO:0016423	tRNA (guanine) methyltransferase activit...	7	0	0.01	1.000
347	GO:0016462	pyrophosphatase activity	167	0	0.31	1.000
348	GO:0016491	oxidoreductase activity	824	0	1.53	1.000
349	GO:0016530	metallochaperone activity	3	0	0.01	1.000
350	GO:0016531	copper chaperone activity	3	0	0.01	1.000
351	GO:0016538	cyclin-dependent protein serine/threonin...	7	0	0.01	1.000
352	GO:0016597	amino acid binding	20	0	0.04	1.000
353	GO:0016614	oxidoreductase activity, acting on CH-OH...	95	0	0.18	1.000
354	GO:0016615	malate dehydrogenase activity	7	0	0.01	1.000
355	GO:0016616	oxidoreductase activity, acting on the C...	79	0	0.15	1.000
356	GO:0016620	oxidoreductase activity, acting on the a...	15	0	0.03	1.000
357	GO:0016624	oxidoreductase activity, acting on the a...	6	0	0.01	1.000
358	GO:0016627	oxidoreductase activity, acting on the C...	24	0	0.04	1.000
359	GO:0016628	oxidoreductase activity, acting on the C...	5	0	0.01	1.000
360	GO:0016634	oxidoreductase activity, acting on the C...	4	0	0.01	1.000
361	GO:0016638	oxidoreductase activity, acting on the C...	10	0	0.02	1.000
362	GO:0016641	oxidoreductase activity, acting on the C...	5	0	0.01	1.000
363	GO:0016645	oxidoreductase activity, acting on the C...	13	0	0.02	1.000
364	GO:0016646	oxidoreductase activity, acting on the C...	6	0	0.01	1.000
365	GO:0016651	oxidoreductase activity, acting on NAD(P...	16	0	0.03	1.000
366	GO:0016655	oxidoreductase activity, acting on NAD(P...	7	0	0.01	1.000
367	GO:0016667	oxidoreductase activity, acting on a sul...	69	0	0.13	1.000
368	GO:0016670	oxidoreductase activity, acting on a sul...	4	0	0.01	1.000
369	GO:0016671	oxidoreductase activity, acting on a sul...	10	0	0.02	1.000
370	GO:0016675	oxidoreductase activity, acting on a hem...	6	0	0.01	1.000
371	GO:0016679	oxidoreductase activity, acting on diphe...	11	0	0.02	1.000
372	GO:0016682	oxidoreductase activity, acting on diphe...	7	0	0.01	1.000
373	GO:0016684	oxidoreductase activity, acting on perox...	81	0	0.15	1.000
374	GO:0016701	oxidoreductase activity, acting on singl...	24	0	0.04	1.000
375	GO:0016702	oxidoreductase activity, acting on singl...	18	0	0.03	1.000
376	GO:0016703	oxidoreductase activity, acting on singl...	5	0	0.01	1.000
377	GO:0016705	oxidoreductase activity, acting on paire...	141	0	0.26	1.000
378	GO:0016709	oxidoreductase activity, acting on paire...	4	0	0.01	1.000
379	GO:0016717	oxidoreductase activity, acting on paire...	7	0	0.01	1.000
380	GO:0016725	oxidoreductase activity, acting on CH or...	4	0	0.01	1.000
381	GO:0016741	transferase activity, transferring one-c...	160	0	0.3	1.000
382	GO:0016742	hydroxymethyl-, formyl- and related tran...	7	0	0.01	1.000
383	GO:0016757	glycosyltransferase activity	303	0	0.56	1.000
384	GO:0016758	hexosyltransferase activity	253	0	0.47	1.000
385	GO:0016759	cellulose synthase activity	12	0	0.02	1.000
386	GO:0016760	cellulose synthase (UDP-forming) activit...	12	0	0.02	1.000
387	GO:0016762	xyloglucan:xyloglucosyl transferase acti...	17	0	0.03	1.000
388	GO:0016763	pentosyltransferase activity	10	0	0.02	1.000
389	GO:0016765	transferase activity, transferring alkyl...	29	0	0.05	1.000
390	GO:0016774	phosphotransferase activity, carboxyl gr...	3	0	0.01	1.000
391	GO:0016775	phosphotransferase activity, nitrogenous...	10	0	0.02	1.000
392	GO:0016776	phosphotransferase activity, phosphate g...	7	0	0.01	1.000
393	GO:0016778	diphosphotransferase activity	6	0	0.01	1.000
394	GO:0016779	nucleotidyltransferase activity	91	0	0.17	1.000
395	GO:0016780	phosphotransferase activity, for other s...	9	0	0.02	1.000
396	GO:0016782	transferase activity, transferring sulph...	6	0	0.01	1.000
397	GO:0016783	sulfurtransferase activity	4	0	0.01	1.000
398	GO:0016787	hydrolase activity	1194	0	2.22	1.000
399	GO:0016788	hydrolase activity, acting on ester bond...	298	0	0.55	1.000
400	GO:0016790	thiolester hydrolase activity	7	0	0.01	1.000
401	GO:0016791	phosphatase activity	103	0	0.19	1.000
402	GO:0016798	hydrolase activity, acting on glycosyl b...	235	0	0.44	1.000
403	GO:0016799	hydrolase activity, hydrolyzing N-glycos...	14	0	0.03	1.000
404	GO:0016810	hydrolase activity, acting on carbon-nit...	34	0	0.06	1.000
