GO.ID	Term	Annotated	Significant	Expected	Fisher
70	GO:0016310	phosphorylation	829	2	1.03	0.6196
71	GO:0034641	cellular nitrogen compound metabolic pro...	1541	2	1.92	0.6231
72	GO:0019538	protein metabolic process	1672	2	2.08	0.6418
73	GO:0044271	cellular nitrogen compound biosynthetic ...	1104	2	1.38	0.6633
74	GO:0044260	cellular macromolecule metabolic process	1656	2	2.06	0.6733
75	GO:0006807	nitrogen compound metabolic process	2982	3	3.72	0.6834
76	GO:0006355	regulation of transcription, DNA-templat...	586	2	0.73	0.6887
77	GO:0006996	organelle organization	143	1	0.18	0.6942
78	GO:0006812	cation transport	130	1	0.16	0.7065
79	GO:0016070	RNA metabolic process	897	2	1.12	0.7297
80	GO:0000280	nuclear division	14	1	0.02	0.7368
81	GO:0043170	macromolecule metabolic process	2732	3	3.41	0.7431
82	GO:0009987	cellular process	4175	5	5.21	0.7433
83	GO:1901564	organonitrogen compound metabolic proces...	1963	2	2.45	0.7437
84	GO:2001141	regulation of RNA biosynthetic process	586	2	0.73	0.7469
85	GO:0051338	regulation of transferase activity	18	1	0.02	0.7500
86	GO:0030001	metal ion transport	98	1	0.12	0.7538
87	GO:1903506	regulation of nucleic acid-templated tra...	586	2	0.73	0.7648
88	GO:0071900	regulation of protein serine/threonine k...	14	1	0.02	0.8235
89	GO:0005992	trehalose biosynthetic process	14	1	0.02	0.8235
90	GO:0016043	cellular component organization	206	1	0.26	0.8240
91	GO:0008152	metabolic process	4153	4	5.18	0.9197
92	GO:0045859	regulation of protein kinase activity	17	1	0.02	0.9444
93	GO:0050790	regulation of catalytic activity	24	1	0.03	0.9600
94	GO:0006810	transport	845	2	1.05	0.9859
95	GO:0051234	establishment of localization	851	2	1.06	0.9907
96	GO:0008150	biological_process	5614	7	7	1.0000
97	GO:0043549	regulation of kinase activity	18	1	0.02	1.0000
98	GO:0000079	regulation of cyclin-dependent protein s...	14	1	0.02	1.0000
99	GO:0006796	phosphate-containing compound metabolic ...	1053	2	1.31	1.0000
100	GO:0006351	transcription, DNA-templated	670	2	0.84	1.0000
101	GO:0000041	transition metal ion transport	5	0	0.01	1.0000
102	GO:0000045	autophagosome assembly	5	0	0.01	1.0000
103	GO:0000070	mitotic sister chromatid segregation	12	0	0.01	1.0000
104	GO:0000075	cell cycle checkpoint signaling	7	0	0.01	1.0000
105	GO:0000077	DNA damage checkpoint signaling	3	0	0	1.0000
106	GO:0000096	sulfur amino acid metabolic process	8	0	0.01	1.0000
107	GO:0000097	sulfur amino acid biosynthetic process	7	0	0.01	1.0000
108	GO:0000105	histidine biosynthetic process	10	0	0.01	1.0000
109	GO:0000154	rRNA modification	3	0	0	1.0000
110	GO:0000160	phosphorelay signal transduction system	24	0	0.03	1.0000
111	GO:0000226	microtubule cytoskeleton organization	27	0	0.03	1.0000
112	GO:0000245	spliceosomal complex assembly	4	0	0	1.0000
113	GO:0000271	polysaccharide biosynthetic process	25	0	0.03	1.0000
114	GO:0000272	polysaccharide catabolic process	9	0	0.01	1.0000
115	GO:0000278	mitotic cell cycle	17	0	0.02	1.0000
116	GO:0000375	RNA splicing, via transesterification re...	28	0	0.03	1.0000
117	GO:0000377	RNA splicing, via transesterification re...	28	0	0.03	1.0000
118	GO:0000387	spliceosomal snRNP assembly	5	0	0.01	1.0000
119	GO:0000398	mRNA splicing, via spliceosome	28	0	0.03	1.0000
120	GO:0000413	protein peptidyl-prolyl isomerization	26	0	0.03	1.0000
121	GO:0000723	telomere maintenance	4	0	0	1.0000
122	GO:0000724	double-strand break repair via homologou...	5	0	0.01	1.0000
123	GO:0000725	recombinational repair	5	0	0.01	1.0000
124	GO:0000731	DNA synthesis involved in DNA repair	3	0	0	1.0000
125	GO:0000737	DNA catabolic process, endonucleolytic	3	0	0	1.0000
126	GO:0000819	sister chromatid segregation	12	0	0.01	1.0000
127	GO:0000910	cytokinesis	11	0	0.01	1.0000
128	GO:0000956	nuclear-transcribed mRNA catabolic proce...	3	0	0	1.0000
129	GO:0001510	RNA methylation	9	0	0.01	1.0000
130	GO:0001522	pseudouridine synthesis	22	0	0.03	1.0000
131	GO:0001678	cellular glucose homeostasis	6	0	0.01	1.0000
132	GO:0001934	positive regulation of protein phosphory...	3	0	0	1.0000
133	GO:0003333	amino acid transmembrane transport	22	0	0.03	1.0000
134	GO:0005976	polysaccharide metabolic process	51	0	0.06	1.0000
135	GO:0005985	sucrose metabolic process	12	0	0.01	1.0000
136	GO:0005996	monosaccharide metabolic process	21	0	0.03	1.0000
137	GO:0006006	glucose metabolic process	11	0	0.01	1.0000
138	GO:0006012	galactose metabolic process	3	0	0	1.0000
139	GO:0006013	mannose metabolic process	3	0	0	1.0000
140	GO:0006022	aminoglycan metabolic process	12	0	0.01	1.0000
141	GO:0006026	aminoglycan catabolic process	10	0	0.01	1.0000
142	GO:0006030	chitin metabolic process	10	0	0.01	1.0000
143	GO:0006032	chitin catabolic process	10	0	0.01	1.0000
144	GO:0006040	amino sugar metabolic process	10	0	0.01	1.0000
145	GO:0006066	alcohol metabolic process	17	0	0.02	1.0000
146	GO:0006072	glycerol-3-phosphate metabolic process	5	0	0.01	1.0000
147	GO:0006073	cellular glucan metabolic process	41	0	0.05	1.0000
148	GO:0006074	(1->3)-beta-D-glucan metabolic process	9	0	0.01	1.0000
149	GO:0006075	(1->3)-beta-D-glucan biosynthetic proces...	9	0	0.01	1.0000
150	GO:0006081	cellular aldehyde metabolic process	6	0	0.01	1.0000
151	GO:0006082	organic acid metabolic process	283	0	0.35	1.0000
152	GO:0006090	pyruvate metabolic process	40	0	0.05	1.0000
153	GO:0006091	generation of precursor metabolites and ...	71	0	0.09	1.0000
154	GO:0006094	gluconeogenesis	4	0	0	1.0000
155	GO:0006096	glycolytic process	35	0	0.04	1.0000
156	GO:0006098	pentose-phosphate shunt	4	0	0	1.0000
157	GO:0006099	tricarboxylic acid cycle	6	0	0.01	1.0000
158	GO:0006102	isocitrate metabolic process	3	0	0	1.0000
159	GO:0006108	malate metabolic process	3	0	0	1.0000
160	GO:0006163	purine nucleotide metabolic process	78	0	0.1	1.0000
161	GO:0006164	purine nucleotide biosynthetic process	34	0	0.04	1.0000
162	GO:0006165	nucleoside diphosphate phosphorylation	40	0	0.05	1.0000
163	GO:0006183	GTP biosynthetic process	5	0	0.01	1.0000
164	GO:0006188	IMP biosynthetic process	6	0	0.01	1.0000
165	GO:0006220	pyrimidine nucleotide metabolic process	14	0	0.02	1.0000
166	GO:0006221	pyrimidine nucleotide biosynthetic proce...	13	0	0.02	1.0000
167	GO:0006228	UTP biosynthetic process	5	0	0.01	1.0000
168	GO:0006241	CTP biosynthetic process	5	0	0.01	1.0000
169	GO:0006259	DNA metabolic process	160	0	0.2	1.0000
170	GO:0006260	DNA replication	35	0	0.04	1.0000
171	GO:0006261	DNA-templated DNA replication	4	0	0	1.0000
172	GO:0006265	DNA topological change	8	0	0.01	1.0000
173	GO:0006270	DNA replication initiation	3	0	0	1.0000
174	GO:0006281	DNA repair	105	0	0.13	1.0000
175	GO:0006284	base-excision repair	14	0	0.02	1.0000
176	GO:0006289	nucleotide-excision repair	16	0	0.02	1.0000
177	GO:0006298	mismatch repair	11	0	0.01	1.0000
178	GO:0006301	postreplication repair	3	0	0	1.0000
179	GO:0006302	double-strand break repair	9	0	0.01	1.0000
180	GO:0006308	DNA catabolic process	10	0	0.01	1.0000
181	GO:0006310	DNA recombination	31	0	0.04	1.0000
182	GO:0006325	chromatin organization	19	0	0.02	1.0000
183	GO:0006334	nucleosome assembly	12	0	0.01	1.0000
184	GO:0006338	chromatin remodeling	19	0	0.02	1.0000
185	GO:0006352	DNA-templated transcription, initiation	31	0	0.04	1.0000
186	GO:0006353	DNA-templated transcription, termination	3	0	0	1.0000
187	GO:0006354	DNA-templated transcription, elongation	6	0	0.01	1.0000
188	GO:0006357	regulation of transcription by RNA polym...	20	0	0.02	1.0000
189	GO:0006359	regulation of transcription by RNA polym...	3	0	0	1.0000
190	GO:0006364	rRNA processing	23	0	0.03	1.0000
191	GO:0006366	transcription by RNA polymerase II	32	0	0.04	1.0000
192	GO:0006367	transcription initiation from RNA polyme...	10	0	0.01	1.0000
193	GO:0006368	transcription elongation from RNA polyme...	4	0	0	1.0000
194	GO:0006376	mRNA splice site selection	4	0	0	1.0000
195	GO:0006383	transcription by RNA polymerase III	7	0	0.01	1.0000
196	GO:0006396	RNA processing	143	0	0.18	1.0000
197	GO:0006397	mRNA processing	49	0	0.06	1.0000
198	GO:0006399	tRNA metabolic process	80	0	0.1	1.0000
199	GO:0006400	tRNA modification	9	0	0.01	1.0000
200	GO:0006401	RNA catabolic process	8	0	0.01	1.0000
201	GO:0006402	mRNA catabolic process	8	0	0.01	1.0000
202	GO:0006403	RNA localization	3	0	0	1.0000
203	GO:0006412	translation	313	0	0.39	1.0000
204	GO:0006413	translational initiation	19	0	0.02	1.0000
205	GO:0006414	translational elongation	13	0	0.02	1.0000
206	GO:0006415	translational termination	8	0	0.01	1.0000
207	GO:0006417	regulation of translation	7	0	0.01	1.0000
208	GO:0006418	tRNA aminoacylation for protein translat...	44	0	0.05	1.0000
209	GO:0006419	alanyl-tRNA aminoacylation	3	0	0	1.0000
210	GO:0006434	seryl-tRNA aminoacylation	3	0	0	1.0000
211	GO:0006438	valyl-tRNA aminoacylation	3	0	0	1.0000
212	GO:0006448	regulation of translational elongation	3	0	0	1.0000
213	GO:0006457	protein folding	81	0	0.1	1.0000
214	GO:0006465	signal peptide processing	8	0	0.01	1.0000
215	GO:0006470	protein dephosphorylation	83	0	0.1	1.0000
216	GO:0006473	protein acetylation	4	0	0	1.0000
217	GO:0006475	internal protein amino acid acetylation	4	0	0	1.0000
218	GO:0006479	protein methylation	24	0	0.03	1.0000
219	GO:0006486	protein glycosylation	43	0	0.05	1.0000
220	GO:0006487	protein N-linked glycosylation	6	0	0.01	1.0000
221	GO:0006497	protein lipidation	11	0	0.01	1.0000
222	GO:0006505	GPI anchor metabolic process	12	0	0.01	1.0000
223	GO:0006506	GPI anchor biosynthetic process	10	0	0.01	1.0000
224	GO:0006508	proteolysis	295	0	0.37	1.0000
225	GO:0006511	ubiquitin-dependent protein catabolic pr...	45	0	0.06	1.0000
226	GO:0006518	peptide metabolic process	327	0	0.41	1.0000
227	GO:0006520	cellular amino acid metabolic process	143	0	0.18	1.0000
228	GO:0006525	arginine metabolic process	5	0	0.01	1.0000
229	GO:0006526	arginine biosynthetic process	4	0	0	1.0000
230	GO:0006528	asparagine metabolic process	4	0	0	1.0000
231	GO:0006529	asparagine biosynthetic process	4	0	0	1.0000
232	GO:0006534	cysteine metabolic process	4	0	0	1.0000
233	GO:0006535	cysteine biosynthetic process from serin...	4	0	0	1.0000
234	GO:0006536	glutamate metabolic process	4	0	0	1.0000
235	GO:0006537	glutamate biosynthetic process	4	0	0	1.0000
236	GO:0006541	glutamine metabolic process	11	0	0.01	1.0000
237	GO:0006542	glutamine biosynthetic process	4	0	0	1.0000
238	GO:0006547	histidine metabolic process	10	0	0.01	1.0000
239	GO:0006553	lysine metabolic process	5	0	0.01	1.0000
240	GO:0006555	methionine metabolic process	4	0	0	1.0000
241	GO:0006556	S-adenosylmethionine biosynthetic proces...	3	0	0	1.0000
242	GO:0006558	L-phenylalanine metabolic process	6	0	0.01	1.0000
243	GO:0006563	L-serine metabolic process	4	0	0	1.0000
244	GO:0006568	tryptophan metabolic process	9	0	0.01	1.0000
245	GO:0006575	cellular modified amino acid metabolic p...	21	0	0.03	1.0000
246	GO:0006576	cellular biogenic amine metabolic proces...	16	0	0.02	1.0000
247	GO:0006586	indolalkylamine metabolic process	9	0	0.01	1.0000
248	GO:0006595	polyamine metabolic process	6	0	0.01	1.0000
249	GO:0006596	polyamine biosynthetic process	6	0	0.01	1.0000
250	GO:0006597	spermine biosynthetic process	3	0	0	1.0000
251	GO:0006605	protein targeting	30	0	0.04	1.0000
252	GO:0006606	protein import into nucleus	3	0	0	1.0000
253	GO:0006612	protein targeting to membrane	17	0	0.02	1.0000
254	GO:0006613	cotranslational protein targeting to mem...	12	0	0.01	1.0000
255	GO:0006614	SRP-dependent cotranslational protein ta...	12	0	0.01	1.0000
256	GO:0006620	post-translational protein targeting to ...	5	0	0.01	1.0000
257	GO:0006621	protein retention in ER lumen	4	0	0	1.0000
258	GO:0006625	protein targeting to peroxisome	6	0	0.01	1.0000
259	GO:0006626	protein targeting to mitochondrion	4	0	0	1.0000
260	GO:0006629	lipid metabolic process	267	0	0.33	1.0000
261	GO:0006631	fatty acid metabolic process	61	0	0.08	1.0000
262	GO:0006633	fatty acid biosynthetic process	49	0	0.06	1.0000
263	GO:0006635	fatty acid beta-oxidation	3	0	0	1.0000
264	GO:0006637	acyl-CoA metabolic process	4	0	0	1.0000
265	GO:0006643	membrane lipid metabolic process	20	0	0.02	1.0000
266	GO:0006644	phospholipid metabolic process	56	0	0.07	1.0000
267	GO:0006650	glycerophospholipid metabolic process	42	0	0.05	1.0000
268	GO:0006661	phosphatidylinositol biosynthetic proces...	23	0	0.03	1.0000
269	GO:0006662	glycerol ether metabolic process	28	0	0.03	1.0000
270	GO:0006664	glycolipid metabolic process	16	0	0.02	1.0000
271	GO:0006665	sphingolipid metabolic process	4	0	0	1.0000
272	GO:0006694	steroid biosynthetic process	25	0	0.03	1.0000
273	GO:0006720	isoprenoid metabolic process	24	0	0.03	1.0000
274	GO:0006721	terpenoid metabolic process	7	0	0.01	1.0000
275	GO:0006739	NADP metabolic process	8	0	0.01	1.0000
276	GO:0006740	NADPH regeneration	4	0	0	1.0000
277	GO:0006741	NADP biosynthetic process	4	0	0	1.0000
278	GO:0006749	glutathione metabolic process	5	0	0.01	1.0000
279	GO:0006750	glutathione biosynthetic process	3	0	0	1.0000
280	GO:0006753	nucleoside phosphate metabolic process	98	0	0.12	1.0000
281	GO:0006754	ATP biosynthetic process	12	0	0.01	1.0000
282	GO:0006757	ATP generation from ADP	35	0	0.04	1.0000
283	GO:0006760	folic acid-containing compound metabolic...	11	0	0.01	1.0000
284	GO:0006766	vitamin metabolic process	21	0	0.03	1.0000
285	GO:0006767	water-soluble vitamin metabolic process	21	0	0.03	1.0000
286	GO:0006771	riboflavin metabolic process	8	0	0.01	1.0000
287	GO:0006778	porphyrin-containing compound metabolic ...	12	0	0.01	1.0000
288	GO:0006779	porphyrin-containing compound biosynthet...	8	0	0.01	1.0000
289	GO:0006783	heme biosynthetic process	3	0	0	1.0000
290	GO:0006787	porphyrin-containing compound catabolic ...	4	0	0	1.0000
291	GO:0006790	sulfur compound metabolic process	43	0	0.05	1.0000
292	GO:0006801	superoxide metabolic process	6	0	0.01	1.0000
293	GO:0006813	potassium ion transport	25	0	0.03	1.0000
294	GO:0006814	sodium ion transport	3	0	0	1.0000
295	GO:0006820	anion transport	38	0	0.05	1.0000
296	GO:0006821	chloride transport	12	0	0.01	1.0000
297	GO:0006826	iron ion transport	3	0	0	1.0000
298	GO:0006839	mitochondrial transport	4	0	0	1.0000
299	GO:0006848	pyruvate transport	5	0	0.01	1.0000
300	GO:0006850	mitochondrial pyruvate transmembrane tra...	5	0	0.01	1.0000
301	GO:0006855	xenobiotic transmembrane transport	35	0	0.04	1.0000
302	GO:0006865	amino acid transport	22	0	0.03	1.0000
303	GO:0006869	lipid transport	19	0	0.02	1.0000
304	GO:0006886	intracellular protein transport	108	0	0.13	1.0000
305	GO:0006887	exocytosis	28	0	0.03	1.0000
306	GO:0006888	endoplasmic reticulum to Golgi vesicle-m...	15	0	0.02	1.0000
307	GO:0006890	retrograde vesicle-mediated transport, G...	5	0	0.01	1.0000
308	GO:0006891	intra-Golgi vesicle-mediated transport	3	0	0	1.0000
309	GO:0006904	vesicle docking involved in exocytosis	10	0	0.01	1.0000
310	GO:0006913	nucleocytoplasmic transport	8	0	0.01	1.0000
311	GO:0006914	autophagy	10	0	0.01	1.0000
312	GO:0006928	movement of cell or subcellular componen...	48	0	0.06	1.0000
313	GO:0006950	response to stress	266	0	0.33	1.0000
314	GO:0006952	defense response	17	0	0.02	1.0000
315	GO:0006974	cellular response to DNA damage stimulus	107	0	0.13	1.0000
316	GO:0006979	response to oxidative stress	81	0	0.1	1.0000
317	GO:0007005	mitochondrion organization	8	0	0.01	1.0000
318	GO:0007010	cytoskeleton organization	63	0	0.08	1.0000
319	GO:0007015	actin filament organization	19	0	0.02	1.0000
320	GO:0007017	microtubule-based process	95	0	0.12	1.0000
321	GO:0007018	microtubule-based movement	48	0	0.06	1.0000
322	GO:0007031	peroxisome organization	12	0	0.01	1.0000
323	GO:0007033	vacuole organization	7	0	0.01	1.0000
324	GO:0007034	vacuolar transport	15	0	0.02	1.0000
325	GO:0007051	spindle organization	8	0	0.01	1.0000
326	GO:0007052	mitotic spindle organization	3	0	0	1.0000
327	GO:0007076	mitotic chromosome condensation	6	0	0.01	1.0000
328	GO:0007088	regulation of mitotic nuclear division	3	0	0	1.0000
329	GO:0007091	metaphase/anaphase transition of mitotic...	5	0	0.01	1.0000
330	GO:0007093	mitotic cell cycle checkpoint signaling	4	0	0	1.0000
331	GO:0007094	mitotic spindle assembly checkpoint sign...	3	0	0	1.0000
332	GO:0007154	cell communication	202	0	0.25	1.0000
333	GO:0007165	signal transduction	152	0	0.19	1.0000
334	GO:0007186	G protein-coupled receptor signaling pat...	13	0	0.02	1.0000
335	GO:0007205	protein kinase C-activating G protein-co...	7	0	0.01	1.0000
336	GO:0007264	small GTPase mediated signal transductio...	30	0	0.04	1.0000
337	GO:0007265	Ras protein signal transduction	5	0	0.01	1.0000
338	GO:0007275	multicellular organism development	25	0	0.03	1.0000
339	GO:0007346	regulation of mitotic cell cycle	6	0	0.01	1.0000
340	GO:0008033	tRNA processing	35	0	0.04	1.0000
341	GO:0008037	cell recognition	42	0	0.05	1.0000
342	GO:0008064	regulation of actin polymerization or de...	7	0	0.01	1.0000
343	GO:0008104	protein localization	147	0	0.18	1.0000
344	GO:0008154	actin polymerization or depolymerization	14	0	0.02	1.0000
345	GO:0008202	steroid metabolic process	26	0	0.03	1.0000
346	GO:0008213	protein alkylation	24	0	0.03	1.0000
347	GO:0008215	spermine metabolic process	3	0	0	1.0000
348	GO:0008216	spermidine metabolic process	4	0	0	1.0000
349	GO:0008272	sulfate transport	9	0	0.01	1.0000
350	GO:0008283	cell population proliferation	4	0	0	1.0000
351	GO:0008295	spermidine biosynthetic process	4	0	0	1.0000
352	GO:0008299	isoprenoid biosynthetic process	24	0	0.03	1.0000
353	GO:0008380	RNA splicing	32	0	0.04	1.0000
354	GO:0008610	lipid biosynthetic process	139	0	0.17	1.0000
355	GO:0008643	carbohydrate transport	7	0	0.01	1.0000
356	GO:0008652	cellular amino acid biosynthetic process	50	0	0.06	1.0000
357	GO:0008654	phospholipid biosynthetic process	36	0	0.04	1.0000
358	GO:0009056	catabolic process	184	0	0.23	1.0000
359	GO:0009057	macromolecule catabolic process	98	0	0.12	1.0000
360	GO:0009060	aerobic respiration	8	0	0.01	1.0000
361	GO:0009062	fatty acid catabolic process	3	0	0	1.0000
362	GO:0009063	cellular amino acid catabolic process	7	0	0.01	1.0000
363	GO:0009064	glutamine family amino acid metabolic pr...	22	0	0.03	1.0000
364	GO:0009066	aspartate family amino acid metabolic pr...	13	0	0.02	1.0000
365	GO:0009067	aspartate family amino acid biosynthetic...	12	0	0.01	1.0000
366	GO:0009069	serine family amino acid metabolic proce...	6	0	0.01	1.0000
367	GO:0009070	serine family amino acid biosynthetic pr...	5	0	0.01	1.0000
368	GO:0009072	aromatic amino acid family metabolic pro...	28	0	0.03	1.0000
369	GO:0009073	aromatic amino acid family biosynthetic ...	17	0	0.02	1.0000
370	GO:0009074	aromatic amino acid family catabolic pro...	3	0	0	1.0000
371	GO:0009081	branched-chain amino acid metabolic proc...	3	0	0	1.0000
372	GO:0009082	branched-chain amino acid biosynthetic p...	3	0	0	1.0000
373	GO:0009084	glutamine family amino acid biosynthetic...	13	0	0.02	1.0000
374	GO:0009085	lysine biosynthetic process	5	0	0.01	1.0000
375	GO:0009086	methionine biosynthetic process	3	0	0	1.0000
376	GO:0009089	lysine biosynthetic process via diaminop...	5	0	0.01	1.0000
377	GO:0009094	L-phenylalanine biosynthetic process	5	0	0.01	1.0000
378	GO:0009095	aromatic amino acid family biosynthetic ...	6	0	0.01	1.0000
379	GO:0009100	glycoprotein metabolic process	46	0	0.06	1.0000
380	GO:0009101	glycoprotein biosynthetic process	45	0	0.06	1.0000
381	GO:0009106	lipoate metabolic process	4	0	0	1.0000
382	GO:0009107	lipoate biosynthetic process	4	0	0	1.0000
383	GO:0009110	vitamin biosynthetic process	21	0	0.03	1.0000
384	GO:0009112	nucleobase metabolic process	3	0	0	1.0000
385	GO:0009116	nucleoside metabolic process	13	0	0.02	1.0000
386	GO:0009117	nucleotide metabolic process	96	0	0.12	1.0000
387	GO:0009119	ribonucleoside metabolic process	3	0	0	1.0000
388	GO:0009123	nucleoside monophosphate metabolic proce...	8	0	0.01	1.0000
389	GO:0009124	nucleoside monophosphate biosynthetic pr...	8	0	0.01	1.0000
390	GO:0009126	purine nucleoside monophosphate metaboli...	7	0	0.01	1.0000
391	GO:0009127	purine nucleoside monophosphate biosynth...	7	0	0.01	1.0000
392	GO:0009132	nucleoside diphosphate metabolic process	42	0	0.05	1.0000
393	GO:0009135	purine nucleoside diphosphate metabolic ...	35	0	0.04	1.0000
394	GO:0009141	nucleoside triphosphate metabolic proces...	18	0	0.02	1.0000
395	GO:0009142	nucleoside triphosphate biosynthetic pro...	17	0	0.02	1.0000
396	GO:0009144	purine nucleoside triphosphate metabolic...	17	0	0.02	1.0000
397	GO:0009145	purine nucleoside triphosphate biosynthe...	17	0	0.02	1.0000
398	GO:0009147	pyrimidine nucleoside triphosphate metab...	6	0	0.01	1.0000
399	GO:0009148	pyrimidine nucleoside triphosphate biosy...	5	0	0.01	1.0000
400	GO:0009150	purine ribonucleotide metabolic process	73	0	0.09	1.0000
401	GO:0009152	purine ribonucleotide biosynthetic proce...	29	0	0.04	1.0000
402	GO:0009156	ribonucleoside monophosphate biosyntheti...	7	0	0.01	1.0000
403	GO:0009161	ribonucleoside monophosphate metabolic p...	7	0	0.01	1.0000
404	GO:0009165	nucleotide biosynthetic process	49	0	0.06	1.0000
405	GO:0009167	purine ribonucleoside monophosphate meta...	7	0	0.01	1.0000
406	GO:0009168	purine ribonucleoside monophosphate bios...	7	0	0.01	1.0000
407	GO:0009179	purine ribonucleoside diphosphate metabo...	35	0	0.04	1.0000
408	GO:0009185	ribonucleoside diphosphate metabolic pro...	35	0	0.04	1.0000
409	GO:0009199	ribonucleoside triphosphate metabolic pr...	17	0	0.02	1.0000
410	GO:0009201	ribonucleoside triphosphate biosynthetic...	17	0	0.02	1.0000
411	GO:0009205	purine ribonucleoside triphosphate metab...	17	0	0.02	1.0000
412	GO:0009206	purine ribonucleoside triphosphate biosy...	17	0	0.02	1.0000
413	GO:0009208	pyrimidine ribonucleoside triphosphate m...	5	0	0.01	1.0000
414	GO:0009209	pyrimidine ribonucleoside triphosphate b...	5	0	0.01	1.0000
